model_type,library,optimizer,threshold,dof,dof_name,with_lambda,ate,grade,n_terms
SINDy,Full,ElasticNet,0.001585,1,yddot,False,0.384129920147212,D,24
SINDy,Full,ElasticNet,0.003981,1,yddot,False,0.36604591071419285,D,25
SINDy,Full,ElasticNet,0.01,1,yddot,False,0.3589412105835246,D,22
SINDy,Full,ElasticNet,0.016681,1,yddot,False,0.3562367842098135,D,19
SINDy,Full,ElasticNet,0.027826,1,yddot,False,0.35356052752855227,D,17
SINDy,Full,ElasticNet,0.046416,1,yddot,False,0.3514708431746492,D,16
SINDy,Full,ElasticNet,0.077426,1,yddot,False,0.348880154149756,D,16
SINDy,Full,ElasticNet,0.129155,1,yddot,False,0.34511437187114663,D,14
SINDy,Full,ElasticNet,0.215443,1,yddot,False,0.3399072389056727,D,15
SINDy,Full,ElasticNet,0.359381,1,yddot,False,0.33632803036831277,D,14
SINDy,Full,ElasticNet,0.599484,1,yddot,False,0.3294461570310196,D,16
SINDy,Full,ElasticNet,1.0,1,yddot,False,0.3153900085732998,D,16
SINDy,Full,ElasticNet,3.162278,1,yddot,False,0.2786098772390837,D,0
SINDy,Full,ElasticNet,10.0,1,yddot,False,0.2786098772390837,D,0
SINDy,Full,ElasticNet,31.622777,1,yddot,False,0.2786098772390837,D,0
SINDy,Full,ElasticNet,0.0001,2,thetaddot,False,2.4505010203956044,F,26
SINDy,Full,ElasticNet,0.000251,2,thetaddot,False,2.434149738937803,F,25
SINDy,Full,ElasticNet,0.000631,2,thetaddot,False,2.4425439508443567,F,16
SINDy,Full,ElasticNet,0.001585,2,thetaddot,False,2.4447379843524306,F,17
SINDy,Full,ElasticNet,0.003981,2,thetaddot,False,2.4470822322913772,F,15
SINDy,Full,ElasticNet,0.01,2,thetaddot,False,2.4487443127353603,F,13
SINDy,Full,ElasticNet,0.016681,2,thetaddot,False,2.4481047163920713,F,15
SINDy,Full,ElasticNet,0.027826,2,thetaddot,False,2.4486008835209256,F,15
SINDy,Full,ElasticNet,0.046416,2,thetaddot,False,2.448206396190665,F,15
SINDy,Full,ElasticNet,0.077426,2,thetaddot,False,2.452890269081673,F,16
SINDy,Full,ElasticNet,0.129155,2,thetaddot,False,2.4585982923332903,F,15
SINDy,Full,ElasticNet,0.215443,2,thetaddot,False,2.469446082865867,F,13
SINDy,Full,ElasticNet,0.359381,2,thetaddot,False,2.4847672927608215,F,13
SINDy,Full,ElasticNet,0.599484,2,thetaddot,False,2.5088200759940933,F,13
SINDy,Full,ElasticNet,1.0,2,thetaddot,False,2.546176999263827,F,13
SINDy,Full,ElasticNet,3.162278,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,ElasticNet,10.0,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,ElasticNet,31.622777,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,SR3_L0,0.0001,0,xddot,False,0.45374289980505883,D,46
SINDy,Full,SR3_L0,0.000251,0,xddot,False,0.4536649305288985,D,42
SINDy,Full,SR3_L0,0.000631,0,xddot,False,0.45429514813301847,D,34
SINDy,Full,SR3_L0,0.001585,0,xddot,False,0.453291164495781,D,29
SINDy,Full,SR3_L0,0.003981,0,xddot,False,0.45225139758469285,D,20
SINDy,Full,SR3_L0,0.01,0,xddot,False,0.4527210722071085,D,8
SINDy,Full,SR3_L0,0.016681,0,xddot,False,0.46217837183476757,D,6
SINDy,Full,SR3_L0,0.027826,0,xddot,False,0.4547902616319838,D,6
SINDy,Full,SR3_L0,0.046416,0,xddot,False,0.45446782481391224,D,6
SINDy,Full,SR3_L0,0.077426,0,xddot,False,0.45446782481391224,D,6
SINDy,Full,SR3_L0,0.129155,0,xddot,False,0.4477899724487503,D,3
SINDy,Full,SR3_L0,0.215443,0,xddot,False,0.44962226905538016,D,3
SINDy,Full,SR3_L0,0.359381,0,xddot,False,0.44962226905538016,D,3
SINDy,Full,SR3_L0,0.599484,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,SR3_L0,1.0,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,SR3_L0,3.162278,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,SR3_L0,10.0,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,SR3_L0,31.622777,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,SR3_L0,0.0001,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,0.000251,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,0.000631,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,0.001585,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,0.003981,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,0.01,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,0.016681,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,0.027826,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,0.046416,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,0.077426,1,yddot,False,79176565.60018672,F,61
SINDy,Full,SR3_L0,0.129155,1,yddot,False,79176565.60018672,F,61
