algorithm,run,library,parsimony,maxsize,dof,n_terms,MSE_train,MSE_val,MSE_test,R2_val,R2_test,ATE,ate_grade,equation
PySR,run_3,Full,0.001,35,a_x,7,26.569133259215395,39.79086226626051,166.88562579673206,0.9697906990583323,0.6623608629636426,1.680332251742878,F,(-(-1.1855642)*sin_ez + vy)*13.156617
PySR,run_3,Full,0.001,35,a_y,5,32.949189916461904,52.71406818891788,121.1546809247499,0.9595515953305123,0.6699033729600812,0.6622666192814073,F,(cos_ez + vx)*(-12.039362)
PySR,run_3,Full,0.001,35,a_z,3,10.90071078995858,12.764129709938452,17.572447501209993,-1.14412630194846,0.04027823834188671,0.47681422513101884,D,px - vx
PySR,run_4,Full,0.001,35,a_x,7,30.991709100811143,25.518135380511257,140.7805133027969,0.9787574866518642,-0.6382393693589445,0.07970542841704449,C,(sin_ez*(-1.2492924) - vy)*(-13.048119)
PySR,run_4,Full,0.001,35,a_y,7,31.421015869399014,17.908363090023833,56.139688234928165,0.9835119919114362,0.5148645583106004,0.24624339144183185,D,(-cos_ez - vx + 0.028163994)/0.08710778
PySR,run_4,Full,0.001,35,a_z,25,4.676705464524703,4.4281544948691325,21.437991163785302,0.5091662127557696,-4.458708039937534,2.211479205335542,F,-vy + (alphax + px)*(-0.373795) - (px + 2.939135) - (px + wy*(-wy**2 - 17.151646)*0.059409842 + cos(wz))
PySR,run_5,Full,0.001,35,a_x,5,40.79604287785534,32.09847121338101,47.85247101269113,0.9743676392690156,0.9610524076785254,0.9999748166276402,F,(sin_ez + vy)*12.816641
PySR,run_5,Full,0.001,35,a_y,7,32.32208336032534,16.505454876670854,25.9734707127886,0.9852057487732132,0.9791226479159907,0.647894236389287,F,(cos_ez + vx/1.0475963)*(-12.499438)
PySR,run_5,Full,0.001,35,a_z,3,8.581473404893446,10.260551968620296,10.264874192836917,0.18930276755925235,0.2733733258211871,0.14915784040795474,C,vy/(-1.0661554)
Hybrid PySR,pooled,Full,0.001,35,a_x,5,45.14806273228519,41.902766240767896,39.06335429811506,0.9680930175698952,0.9723147509018069,22.51018348728812,F,(sin_ez + vy)*12.401121
Hybrid PySR,pooled,Full,0.001,35,a_y,7,53.52077641638814,42.96920928137766,26.60061340169606,0.9638930144752471,0.98009002292333,50.44060516690218,F,-12.302465*cos_ez + vx*(-12.052564)
Hybrid PySR,pooled,Full,0.001,35,a_z,21,8.929917194295157,10.803086210063395,20.548507189229262,-0.07247873139818117,-0.21690597048680949,4.101292372213313,F,ax*(-0.038658965) - vx/1.2981626 + (px - (-alphax + wy + wy/wy))*(-0.19844708) - 1*0.72445834
