model_type,library,optimizer,with_lambda,dof,dof_name,n_terms,threshold,mse_train,mse_val,mse_test,r2_test,ate,equation
Lagrange,Lagrange+λ,Lasso,True,0,xddot,15,0.001,,,0.002259395463517634,,,"T = +0.593757*xdot^2 +0.647979*ydot^2 +0.029288*thetadot^2 +0.018203*xdot ydot -0.068421*xdot thetadot sin(theta) -0.008774*xdot thetadot cos(theta) -0.016775*ydot thetadot sin(theta) +0.082917*ydot thetadot cos(theta)
V = -1.424583*y -0.103069*sin(theta) +0.006771*cos(theta) +0.079990*y sin(theta) -0.102941*y cos(theta) +0.019370*y^2 -0.001690*x"
Lagrange,Lagrange+λ,Lasso,True,1,yddot,15,0.001,,,0.02832329638010914,,,"T = +0.593757*xdot^2 +0.647979*ydot^2 +0.029288*thetadot^2 +0.018203*xdot ydot -0.068421*xdot thetadot sin(theta) -0.008774*xdot thetadot cos(theta) -0.016775*ydot thetadot sin(theta) +0.082917*ydot thetadot cos(theta)
V = -1.424583*y -0.103069*sin(theta) +0.006771*cos(theta) +0.079990*y sin(theta) -0.102941*y cos(theta) +0.019370*y^2 -0.001690*x"
Lagrange,Lagrange+λ,Lasso,True,2,thetaddot,15,0.001,,,0.00011187795336208859,,,"T = +0.593757*xdot^2 +0.647979*ydot^2 +0.029288*thetadot^2 +0.018203*xdot ydot -0.068421*xdot thetadot sin(theta) -0.008774*xdot thetadot cos(theta) -0.016775*ydot thetadot sin(theta) +0.082917*ydot thetadot cos(theta)
V = -1.424583*y -0.103069*sin(theta) +0.006771*cos(theta) +0.079990*y sin(theta) -0.102941*y cos(theta) +0.019370*y^2 -0.001690*x"
Lagrange,Lagrange+λ,Ridge,True,0,xddot,20,0.0001,,,0.00014165927592712797,,,"T = +0.756725*xdot^2 +0.615727*ydot^2 +0.066684*thetadot^2 +0.004520*xdot ydot +0.011090*xdot thetadot -0.023419*ydot thetadot -0.087459*xdot thetadot sin(theta) -0.000955*xdot thetadot cos(theta) -0.043716*ydot thetadot sin(theta) +0.092876*ydot thetadot cos(theta) +0.020720*thetadot^2 sin(theta) -0.001863*thetadot^2 cos(theta)
V = -1.428503*y -0.162156*sin(theta) +0.029898*cos(theta) +0.123538*y sin(theta) -0.148964*y cos(theta) -0.014835*sin(theta)^2 +0.019329*y^2 +0.001346*x"
Lagrange,Lagrange+λ,Ridge,True,1,yddot,20,0.0001,,,0.08862038764824338,,,"T = +0.756725*xdot^2 +0.615727*ydot^2 +0.066684*thetadot^2 +0.004520*xdot ydot +0.011090*xdot thetadot -0.023419*ydot thetadot -0.087459*xdot thetadot sin(theta) -0.000955*xdot thetadot cos(theta) -0.043716*ydot thetadot sin(theta) +0.092876*ydot thetadot cos(theta) +0.020720*thetadot^2 sin(theta) -0.001863*thetadot^2 cos(theta)
V = -1.428503*y -0.162156*sin(theta) +0.029898*cos(theta) +0.123538*y sin(theta) -0.148964*y cos(theta) -0.014835*sin(theta)^2 +0.019329*y^2 +0.001346*x"
Lagrange,Lagrange+λ,Ridge,True,2,thetaddot,20,0.0001,,,0.0026394581995542866,,,"T = +0.756725*xdot^2 +0.615727*ydot^2 +0.066684*thetadot^2 +0.004520*xdot ydot +0.011090*xdot thetadot -0.023419*ydot thetadot -0.087459*xdot thetadot sin(theta) -0.000955*xdot thetadot cos(theta) -0.043716*ydot thetadot sin(theta) +0.092876*ydot thetadot cos(theta) +0.020720*thetadot^2 sin(theta) -0.001863*thetadot^2 cos(theta)
V = -1.428503*y -0.162156*sin(theta) +0.029898*cos(theta) +0.123538*y sin(theta) -0.148964*y cos(theta) -0.014835*sin(theta)^2 +0.019329*y^2 +0.001346*x"
Lagrange,Lagrange+λ,ElasticNet,True,0,xddot,17,0.001,,,0.0020854941745422186,,,"T = +0.605216*xdot^2 +0.615179*ydot^2 +0.052914*thetadot^2 +0.022552*xdot ydot -0.000018*xdot thetadot -0.004128*ydot thetadot -0.071996*xdot thetadot sin(theta) -0.007020*xdot thetadot cos(theta) -0.031797*ydot thetadot sin(theta) +0.086462*ydot thetadot cos(theta) +0.008689*thetadot^2 sin(theta)
V = -1.406822*y -0.143992*sin(theta) +0.020115*cos(theta) +0.115842*y sin(theta) -0.146016*y cos(theta) +0.020066*y^2"
Lagrange,Lagrange+λ,ElasticNet,True,1,yddot,17,0.001,,,0.06485950781530257,,,"T = +0.605216*xdot^2 +0.615179*ydot^2 +0.052914*thetadot^2 +0.022552*xdot ydot -0.000018*xdot thetadot -0.004128*ydot thetadot -0.071996*xdot thetadot sin(theta) -0.007020*xdot thetadot cos(theta) -0.031797*ydot thetadot sin(theta) +0.086462*ydot thetadot cos(theta) +0.008689*thetadot^2 sin(theta)
V = -1.406822*y -0.143992*sin(theta) +0.020115*cos(theta) +0.115842*y sin(theta) -0.146016*y cos(theta) +0.020066*y^2"
Lagrange,Lagrange+λ,ElasticNet,True,2,thetaddot,17,0.001,,,0.0013761339880819165,,,"T = +0.605216*xdot^2 +0.615179*ydot^2 +0.052914*thetadot^2 +0.022552*xdot ydot -0.000018*xdot thetadot -0.004128*ydot thetadot -0.071996*xdot thetadot sin(theta) -0.007020*xdot thetadot cos(theta) -0.031797*ydot thetadot sin(theta) +0.086462*ydot thetadot cos(theta) +0.008689*thetadot^2 sin(theta)
V = -1.406822*y -0.143992*sin(theta) +0.020115*cos(theta) +0.115842*y sin(theta) -0.146016*y cos(theta) +0.020066*y^2"
Lagrange,Lagrange+λ,STLSQ,True,0,xddot,5,0.1,,,9.952234575061628e-06,,,"T = +0.778905*xdot^2 +0.744631*ydot^2 -0.091795*xdot thetadot sin(theta) +0.072684*ydot thetadot cos(theta)
V = -1.496607*y"
Lagrange,Lagrange+λ,STLSQ,True,1,yddot,5,0.1,,,0.002532771786990716,,,"T = +0.778905*xdot^2 +0.744631*ydot^2 -0.091795*xdot thetadot sin(theta) +0.072684*ydot thetadot cos(theta)
V = -1.496607*y"
Lagrange,Lagrange+λ,STLSQ,True,2,thetaddot,5,0.1,,,0.0009847545640963994,,,"T = +0.778905*xdot^2 +0.744631*ydot^2 -0.091795*xdot thetadot sin(theta) +0.072684*ydot thetadot cos(theta)
V = -1.496607*y"
Hybrid,Full,STLSQ,False,0,xddot,59,0.01,8.393348254862779e-07,0.020206740606499265,0.009659541036690235,-0.10090441370668812,0.1629402195810882,-5.115 x + -0.165 y + -3.557 theta + -4.481 xdot +  0.049 ydot + -3.502 thetadot + -0.517 yddot +  39862.400 thetaddot +  11.719 x^2 +  0.385 x y +  23.876 x theta +  17.743 x xdot +  0.257 x ydot +  15.684 x thetadot +  0.887 x yddot + -0.041 y^2 +  0.220 y theta + -0.761 y xdot +  0.040 y ydot + -0.963 y thetadot +  0.394 y yddot + -39862.722 y thetaddot +  11.539 theta^2 +  17.134 theta xdot +  0.497 theta ydot +  14.131 theta thetadot +  0.905 theta yddot +  0.086 theta thetaddot + -4.026 xdot^2 +  0.705 xdot ydot + -9.416 xdot thetadot +  0.141 xdot yddot + -0.232 xdot thetaddot + -0.338 ydot^2 +  0.403 ydot thetadot +  0.228 ydot yddot + -4.633 thetadot^2 +  0.161 thetadot yddot + -0.092 thetadot thetaddot +  0.199 yddot^2 +  0.126 thetaddot^2 +  0.873 sin(theta) +  0.256 cos(theta) + -1.591 sin(theta) x + -0.122 sin(theta) y + -2.107 sin(theta) theta + -1.905 sin(theta) xdot + -0.369 sin(theta) ydot + -1.483 sin(theta) thetadot + -0.470 sin(theta) yddot +  0.168 sin(theta) thetaddot + -0.618 cos(theta) x +  0.036 cos(theta) y + -0.191 cos(theta) theta +  2.199 cos(theta) xdot +  0.068 cos(theta) ydot +  2.707 cos(theta) thetadot +  0.069 cos(theta) yddot +  0.138 cos(theta) thetaddot
Hybrid,Full,STLSQ,False,1,yddot,62,0.01,0.0023536399521647084,3.7843151637900547,2.37325969869681,-5.285171809922927,0.1629402195810882, 26.813 x + -1.931 y +  43.174 theta + -37.012 xdot +  1.555 ydot + -33.328 thetadot + -10.450 xddot + -8402243.671 thetaddot + -177.374 x^2 +  6.094 x y + -384.138 x theta +  100.396 x xdot + -0.380 x ydot +  83.685 x thetadot +  34.564 x xddot +  45.187 x thetaddot +  0.531 y^2 +  1.302 y theta + -17.648 y xdot + -0.587 y ydot + -14.261 y thetadot +  7.380 y xddot +  8402237.723 y thetaddot + -211.291 theta^2 +  109.437 theta xdot +  0.021 theta ydot +  90.555 theta thetadot +  33.081 theta xddot +  41.070 theta thetaddot + -5.241 xdot^2 + -6.074 xdot ydot + -10.331 xdot thetadot +  14.760 xdot xddot +  11.388 xdot thetaddot +  0.218 ydot^2 + -5.628 ydot thetadot + -1.161 ydot xddot + -0.213 ydot thetaddot + -7.087 thetadot^2 +  18.504 thetadot xddot +  12.657 thetadot thetaddot + -6.721 xddot^2 + -163818.474 xddot thetaddot + -163811.592 thetaddot^2 + -11.010 sin(theta) + -5.690 cos(theta) +  39.416 sin(theta) x + -0.625 sin(theta) y +  39.674 sin(theta) theta + -16.062 sin(theta) xdot + -0.072 sin(theta) ydot + -15.364 sin(theta) thetadot +  3.134 sin(theta) xddot +  1.992 sin(theta) thetaddot + -3.318 cos(theta) x +  0.286 cos(theta) y + -5.270 cos(theta) theta + -10.316 cos(theta) xdot + -0.036 cos(theta) ydot + -13.842 cos(theta) thetadot +  10.340 cos(theta) xddot +  11.672 cos(theta) thetaddot
Hybrid,Full,STLSQ,False,2,thetaddot,50,0.01,5.693342967716532e-06,0.0006828411253251063,0.001903696506381603,0.8718042991989251,0.1629402195810882, 1.202 x +  0.034 y +  0.687 theta + -0.470 xdot +  0.053 ydot + -0.834 thetadot + -0.847 xddot +  0.687 yddot + -0.365 x y +  0.370 x theta +  0.250 x xdot +  1.585 x thetadot +  0.350 x yddot +  0.003 y^2 + -0.043 y theta +  0.948 y xdot +  0.873 y thetadot + -0.320 y xddot +  0.057 y yddot +  0.593 theta^2 +  0.580 theta xdot +  1.977 theta thetadot + -0.088 theta xddot +  0.271 theta yddot +  0.124 xdot ydot + -1.188 xdot xddot + -1.172 xdot yddot + -0.005 ydot^2 +  0.116 ydot thetadot +  0.029 ydot xddot +  0.053 ydot yddot + -0.275 thetadot^2 + -1.110 thetadot xddot + -0.849 thetadot yddot +  0.031 xddot^2 + -0.481 xddot yddot +  0.869 yddot^2 + -0.247 sin(theta) +  0.078 cos(theta) + -0.054 sin(theta) x +  0.036 sin(theta) y +  1.359 sin(theta) xdot +  1.160 sin(theta) thetadot +  0.033 sin(theta) xddot + -0.143 sin(theta) yddot +  0.078 cos(theta) theta +  1.038 cos(theta) xdot +  1.052 cos(theta) thetadot + -0.033 cos(theta) xddot +  0.011 cos(theta) yddot
